Surface [m2],Rooms,Price [CHF/month],Country,City
99.0,3.0,1795,Germany,Freiburg
95.0,4.0,1357,Germany,Freiburg
46.0,2.0,773,Germany,Freiburg
37.0,2.0,992,Germany,Freiburg
74.0,3.0,1430,Germany,Freiburg
80.0,3.0,1566,Germany,Freiburg
55.0,3.0,710,Germany,Freiburg
49.0,2.0,679,Germany,Freiburg
40.0,2.0,767,Germany,Freiburg
43.0,1.0,825,Germany,Freiburg
74.0,3.0,1670,Germany,Freiburg
58.0,2.0,992,Germany,Freiburg
18.0,1.0,345,Germany,Freiburg
75.0,2.0,1086,Germany,Freiburg
112.0,3.0,835,Germany,Freiburg
68.0,2.0,835,Germany,Freiburg
120.0,4.0,1514,Germany,Freiburg
46.0,2.0,574,Germany,Freiburg
38.0,1.0,679,Germany,Freiburg
94.0,3.0,1333,Germany,Freiburg
63.0,2.0,1148,Germany,Freiburg
49.0,2.0,606,Germany,Freiburg
65.0,2.0,407,Germany,Freiburg
51.0,2.0,1044,Germany,Freiburg
48.0,2.0,830,Germany,Freiburg
63.0,2.0,877,Germany,Freiburg
97.0,4.0,1805,Germany,Freiburg
52.0,2.0,1034,Germany,Freiburg
45.0,2.0,715,Germany,Freiburg
81.0,3.0,1608,Germany,Freiburg
65.0,2.0,1357,Germany,Freiburg
53.0,1.0,1138,Germany,Freiburg
85.0,4.0,1039,Germany,Freiburg
53.0,2.0,626,Germany,Freiburg
65.0,2.0,1034,Germany,Freiburg
50.0,3.0,778,Germany,Freiburg
71.0,2.0,1159,Germany,Freiburg
45.0,2.0,672,Germany,Freiburg
45.0,2.0,1065,Germany,Freiburg
69.0,2.0,517,Germany,Freiburg
55.0,2.0,1357,Germany,Freiburg
47.0,2.0,783,Germany,Freiburg
50.0,2.0,1271,Germany,Freiburg
63.0,2.0,715,Germany,Freiburg
56.0,2.0,1143,Germany,Freiburg
110.0,4.0,1357,Germany,Freiburg
60.0,2.0,825,Germany,Freiburg
46.0,2.0,632,Germany,Freiburg
50.0,2.0,480,Germany,Freiburg
61.0,2.0,908,Germany,Freiburg
83.0,3.0,1502,Germany,Freiburg
39.0,1.0,590,Germany,Freiburg
20.0,1.0,392,Germany,Freiburg
110.0,3.0,428,Germany,Freiburg
210.0,6.0,3132,Germany,Freiburg
100.0,4.0,1357,Germany,Freiburg
17.0,2.0,449,Germany,Freiburg
67.0,2.0,992,Germany,Freiburg
38.0,2.0,762,Germany,Freiburg
48.0,2.0,731,Germany,Freiburg
35.0,2.0,585,Germany,Freiburg
75.0,3.0,741,Germany,Freiburg
70.0,2.0,877,Germany,Freiburg
